ТМЦ,,Ед.,Усред. себест-ть с НДС (руб.),Артемовский МАГАЗИН,"Камышлов, ул. Куйбышева, 2",Основной склад,"РК ""Ботанический"" пав. № 176","РК ""Верх-Исетский"" пав. № 75-76","Реж, ул. Ленина,8","г.Алапаевск ТЦ ул.Фрунзе,32"
Искусственный мех,,,, , , , , , , 
"Комплект покрывало 1,80*2,20,  навол. 40*40 (2 шт)",,шт,"1 185,15","1,000", , , , , , 
"Плед  1,10х1,40 ""Тамерлан"" дет. облегченный",,шт,"531,30", , , , , ,"1,000", 
"Плед  1,50х2,00 ""Тамерлан"" облегченный",,шт,"697,50","1,000", , ,"2,000", ,"2,000","1,000"
"Плед  2,00х2,40 ""Тамерлан"" облегченный",,шт,"1 124,94","4,000","1,000", , ,"2,000", ,"1,000"
"Плед (Китай) 1,10х1,40",,шт,"263,00", , , , , , ,"1,000"
Коврики прорезиненные,,,, , , , , , , 
Коврик Детройт 80*120,,шт,"359,18", , , , ,"3,000", , 
Коврик Люксор фом. 50*80 фигурные,,шт,"156,00", , , , , , ,"2,000"
Коврик Нью Соса 33*33,,шт,"48,96","16,000","32,000","576,000","18,000","30,000","45,000","27,000"
Коврик Нью Соса 40*70,,шт,"120,43","2,000","2,000", ,"3,000","3,000","6,000","4,000"
Коврик Нью Соса 50*80,,шт,"180,12","6,000","9,000","69,000","6,000","4,000","14,000","8,000"
Коврик Нью Соса 57*60,,шт,"154,62","4,000","3,000","139,000","5,000","6,000","13,000","2,000"
Коврик Нью Соса 57*80,,шт,"206,67","8,000","4,000","21,000","7,000","6,000","19,000","12,000"
Коврик Нью Соса 57*90,,шт,"231,27","8,000","5,000","52,000","5,000","2,000","14,000","6,000"
"Коврик Плато 0,60*0,80",,шт,"288,00", , , , ,"2,000","4,000","7,000"
"Коврик Плато 0,60*1,00",,шт,"360,00", ,"1,000","9,000", ,"2,000","3,000","8,000"
"Коврик Плато 0,80*1,20",,шт,"576,00", ,"3,000","9,000", ,"2,000","4,000","2,000"
Коврик Розетта Стронг Бэк 40*70,,шт,"102,00","2,000", , , , , , 
Коврик Сабха Тун 40*60,,шт,"85,21","6,000", , ,"3,000", ,"1,000", 
Коврик Сабха Тун 50*80,,шт,"130,90","8,000","11,000","70,000","6,000","11,000","18,000","9,000"
Коврик Сабха Тун 60*90,,шт,"182,55","8,000","11,000", ,"5,000","17,000","11,000","10,000"
Коврик Сабха Тун 67*100,,шт,"219,08","11,000","10,000","30,000","2,000","10,000","12,000","7,000"
"Коврик Торонто 0,50*0,70",,шт,"122,50","6,000", ,"1,000","3,000","3,000","8,000", 
"Коврик Торонто 0,50*0,80",,шт,"140,00", ,"6,000", , , , ,"10,000"
"Коврик Торонто 0,50*1,00",,шт,"175,00", ,"1,000", , , , , 
"Коврик Торонто 0,60*1,00",,шт,"209,62","4,000","1,000","1,000","3,000","6,000","6,000","10,000"
"Комп-т ковр. д/ван. 0,60*1,00",,шт,"560,00","2,000","3,000", ,"1,000","2,000","6,000","2,000"
Комп-т ковр. д/ван. 3D 0.60*0.90,,шт,"560,00","2,000","1,000", , ,"1,000","6,000","1,000"
"Комп-т ковр. д/ван. Смарт 0,60*1,60",,шт,"566,15","2,000","4,000", , ,"3,000","4,000", 
Ковры,,,, , , , , , , 
Дорожка ковровая,,,, , , , , , , 
Дорожка ковр. (Балтекс),,,, , , , , , , 
"Дорожка ковр.(Балтекс) 1,2м.",,,, , , , , , , 
"Дорожка ковр. (Балтекс)  1,2 L=25,0",,рул,"196,83", , ,"8,717", , , ,"0,363"
Дорожка ковр. (Витебск),,,, , , , , , , 
"Дорожка ковр.(Витебск) 1,00 м.",,,, , , , , , , 
"Дорожка ковр. (Витебск) 1,0м. L=20,0 м.",,рул,"280,00", , ,"7,505", , , ,"0,395"
Дорожка ковр. (Да Винчи),,,, , , , , , , 
"Дорожка ковр. (Да Винчи) 0,7м.",,,, , , , , , , 
"Дорожка ковр. (Да Винчи) 0,7 м L=25,0 м",,рул,"290,50", , ,"0,902", , , ,"0,038"
"Дорожка ковр. (Да Винчи) 1,0м.",,,, , , , , , , 
"Дорожка ковр. (Да Винчи) 1,0м. L=25м.",,рул,"10 375,00", ,"0,056", , , , , 
Дорожка ковр. (Лагуна BCF),,,, , , , , , , 
"Дорожка ковр. (Лагуна BCF) 0,8м.",,,, , , , , , , 
"Дорожка ковр. (Лагуна BCF) 0,8м. L=30м.",,рул,"6 840,00", , , , , ,"0,015", 
"Дорожка ковр. (Лагуна BCF) 1,2м.",,,, , , , , , , 
"Дорожка ковр. (Лагуна BCF) 1,2м. L=30м.",,рул,"8 100,00", ,"0,050", , , , , 
Дорожка ковр. (Лайла де Люкс),,,, , , , , , , 
"Дорожка ковр.(Лайла де люкс) 0,8м.",,,, , , , , , , 
"Дорожка ковр.(Лайла де Люкс) 0,8м. L=30,0м.",,рул,"6 655,20", ,"0,001", , , ,"0,122", 
"Дорожка ковр.(Лайла де люкс) 1,0м.",,,, , , , , , , 
"Дорожка ковр.(Лайла де Люкс) 1,0м. L=30,0м.",,рул,"8 319,00", , , , , ,"0,160", 
Дорожка ковр. (Люберцы Золушка),,,, , , , , , , 
"Дорожка ковр. (Люберцы Золушка) 1,0м.",,,, , , , , , , 
"Дорожка ковр. (Люберцы Золушка) 1,0м. L=31,5 м.",,рул,"8 419,97", , , , , ,"0,245", 
Дорожка ковр. (Молдова),,,, , , , , , , 
"Дорожка ковр.(Молдова) 0,90 м.",,,, , , , , , , 
"Дорожка ковр. (Молдова) 0,9м. L=30,0 м.",,рул,"207,72", , ,"1,701", , , ,"0,058"
"Дорожка ковр.(Молдова) 1,50 м.",,,, , , , , , , 
"Дорожка ковр. (Молдова) 1,50 м. L=30,0 м.",,рул,"346,19", , ,"5,500", , , ,"0,190"
Дорожка ковр. (Молдова) Акварель,,,, , , , , , , 
"Дорожка ковр. (Молдова) Акварель 0,8",,,, , , , , , , 
"Дорожка ковр. (Молдова) Акварель 0,8 L=25,0м",,рул,"288,00", , ,"1,286", , , ,"0,054"
"Дорожка ковр. (Молдова) Акварель 1,2",,,, , , , , , , 
"Дорожка ковр. (Молдова) Акварель 1,2 L=25,0м",,рул,"11 760,00", ,"0,174", , , , , 
Дорожка ковр. (Циновка),,,, , , , , , , 
"Дорожка ковр. (Циновка) 1,0 L=23,9м",,рул,"9 435,72", ,"0,615", , , , , 
Дорожка ковр. (Циновка) Витебск,,,, , , , , , , 
"Дорожка ковр. (Циновка) Витебск 1,0м.",,,, , , , , , , 
"Дорожка ковр. (Циновка) Витебск 1,0 L=29,7м",,рул,"7 870,50","0,032", , , , , , 
Коврики (хит-сет),,,, , , , , , , 
"Коврик (хит-сет) 0,80*1,47",,шт,"592,00", , , , ,"1,000", , 
Ковры (Sisal) Турция Циновка,,,, , , , , , , 
"Ковер (Sisal) Турция Циновка 1,40*2,00",,шт,"977,20", , ,"1,000", , , , 
"Ковер (Sisal) Турция Циновка 1,60*2,30 ов.",,шт,"1 284,32","2,000", , , , ,"1,000", 
Ковры (Акварель),,,, , , , , , , 
"Ковер (Акварель) 0,60*1,00",,шт,"282,00", , ,"2,000", , , , 
"Ковер (Акварель) 0,60*1,00 ов.",,шт,"290,16", , , , , , ,"2,000"
"Ковер (Акварель) 0,60*1,10",,шт,"501,25","2,000", , , , ,"3,000","2,000"
"Ковер (Акварель) 0,60*1,10 ов.",,шт,"365,18","2,000", ,"2,000", ,"1,000","3,000", 
"Ковер (Акварель) 0,80*1,50 ов.",,шт,"564,00", ,"1,000", , , ,"1,000", 
"Ковер (Акварель) 1,00*2,00",,шт,"940,00", , ,"1,000", , , , 
"Ковер (Акварель) 1,00*2,00 ов.",,шт,"940,00", , ,"1,000", , , , 
"Ковер (Акварель) 1,50*1,50 ов.",,шт,"1 036,35", , , ,"1,000", ,"1,000","1,000"
"Ковер (Акварель) 1,50*2,30 ов.",,шт,"1 621,50", , , , , ,"2,000", 
"Ковер (Акварель) 1,50*3,00",,шт,"2 115,00", ,"1,000", , , ,"2,000","1,000"
"Ковер (Акварель) 1,50*3,00 ов.",,шт,"2 217,23", , , , , , ,"1,000"
"Ковер (Акварель) 1,50*4,00",,шт,"2 820,00", , , , , ,"1,000", 
"Ковер (Акварель) 2,00*2,00 ов.",,шт,"1 842,40", , , ,"1,000", , , 
"Ковер (Акварель) 2,00*3,00 ов.",,шт,"2 813,25","1,000", ,"1,000", ,"1,000","1,000", 
"Ковер (Акварель) 2,00*4,00 ов.",,шт,"3 722,40", , ,"1,000", , ,"2,000","1,000"
"Ковер (Акварель) 2,00*5,00",,шт,"4 700,00", , , , , ,"1,000", 
Ковры (Анатолия),,,, , , , , , , 
"Ковер (Анатолия) 0,70*1,40",,шт,"580,36", , , , , , ,"1,000"
"Ковер (Анатолия) 1,50*2,30 ов.",,шт,"2 043,09", , , , , , ,"1,000"
"Ковер (Анатолия) 2,00*3,00",,шт,"3 553,20", , , , , ,"1,000","1,000"
"Ковер (Анатолия) 2,00*3,00 ов.",,шт,"3 553,20","1,000", , , , , ,"1,000"
"Ковер (Анатолия) 2,50*3,50",,шт,"5 181,75", , , , , , ,"1,000"
Ковры (Астана) BCF,,,, , , , , , , 
"Ковер (Астана) BCF 1,00*2,00 ов.",,шт,"598,50","1,000", , , , , , 
"Ковер (Астана) BCF 1,50*2,30",,шт,"1 032,41","1,000", , , , , , 
"Ковер (Астана) BCF 1,50*2,30 ов.",,шт,"1 032,41", , , , , ,"1,000", 
"Ковер (Астана) BCF 1,50*3,00",,шт,"1 346,65","1,000", , , , , , 
"Ковер (Астана) BCF 1,50*3,00 ов.",,шт,"1 346,60", , , ,"1,000", , , 
Ковры (Балтекс),,,, , , , , , , 
"Ковер (Балтекс) 2,20*4,00",,шт,"1 443,46", , , , , ,"1,000", 
Ковры (Березовские),,,, , , , , , , 
Ковры (Березовские) шерсть,,,, , , , , , , 
"Ковер (шерсть) 1,50*2,10",,шт,"1 260,00","1,000", , , , , , 
"Ковер (шерсть) 1,50*2,30",,шт,"1 380,00","1,000", , , , , , 
Ковры (Богемы),,,, , , , , , , 
"Ковер (Богемы) 0,80*1,50",,шт,"576,00", , , , , , ,"1,000"
"Ковер (Богемы) 1,50*2,30",,шт,"1 656,00", , , , , , ,"1,000"
Ковры (Болора) вискоза,,,, , , , , , , 
"Ковер (Болора) вискоза 1,60*2,30",,шт,"3 548,44", , , , , , ,"1,000"
"Ковер (Болора) вискоза 2,00*2,90",,шт,"6 612,00", , , , , , ,"1,000"
"Ковер (Болора) вискоза 2,00*2,90 ов.",,шт,"6 612,00","1,000", , , , , , 
Ковры (Бухара) вискоза,,,, , , , , , , 
